,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water_bottom_left_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water_bottom_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_left_01,,,,,,,,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,,,,,,,,,,,,,,,,,,,,,,,,,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,water_bottom_left_01,,,,,,,,,,,,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_left_01,,,,,,,,dirty_bottom_right_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,,,,,,,,,,,,,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_left_01,,,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_left_01,,,,,,,garden_tree_8,,garden_stone,,,,,,,,,,,,,,,dirty_bottom_right_01,dirty_bottom_01,dirty_bottom_01,,,,,,,,,,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,water_bottom_left_01,,,,,,,,,,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_left_01,,,,,,,,,,,garden_stone,,,,,,,,,,,,garden_tree_8,,,garden_grass_3,,,,garden_grass_1,,garden_grass_3,,,,,dirty_bottom_right_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_01,,water_top_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,water_bottom_left_01,,,dirty_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_left_01,,,,,,,,,garden_grass_1,,,garden_tree_8,,misc_blood,,,,,,garden_tree_8,misc_dead,garden_grass_3,,,,,,,,,,,,garden_tree_8,,,,,,,garden_stone,,,,,,,,dirty_right_01,,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,water_left_01,,,,dirty_bottom_left_01,,,,,,,,,,,,garden_tree_6,,,,,,,,,,,garden_tree_8,,,,,,,,,garden_tree_8,,,,garden_stone,,,garden_tree_8,,,,,,,garden_tree_8,,,,,,garden_tree_8,,,,dirty_right_01,,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,water_left_01,,,dirty_left_01,,misc_dead,garden_grass_2,,misc_blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,garden_tree_6,,,,,wooden_wall_01,wooden_wall_01,wooden_wall_01,wooden_wall_01,wooden_wall_01,wooden_wall_01,wooden_wall_01,wooden_wall_01,wooden_wall_01,,,,,,garden_tree_8,,dirty_right_01,,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,water_left_01,,,dirty_left_01,,garden_grass_1,,,,,,,,garden_tree_3,garden_grass_2,,garden_tree_4,garden_stone,,garden_grass_3,garden_tree_8,garden_tree_8,,garden_tree_11,,garden_tree_4,,,garden_tree_11,,garden_tree_4,garden_grass_1,,garden_tree_3,,garden_tree_4,,,garden_tree_3,,garden_grass_1,garden_tree_8,,garden_tree_11,wooden_wall_01,dirty_top_right_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_left_01,wooden_wall_01,,,garden_tree_8,,,,,dirty_right_01,,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
