,,,,,,,,,misc_sign,misc_sign,misc_sign,wall_01_broke,,,,,,,
,garden_grass_1,,,garden_tall_grass,garden_grass_3,,,,@,,garden_grass_1,garden_stone,,,,,misc_sign,misc_sign,
,,@,@,@,@,outside_metal_fence_1,outside_metal_fence_1,outside_metal_fence_1,@,,,@,@,,,,,,garden_grass_3
,wall_01_broke,garden_tree_11,,,@,military_radio,,outside_metal_door_01_broke,,,,garden_tall_grass,@,@,wall_01_broke,@,@,outside_metal_fence_1,garden_grass_3
,wall_01_broke,garden_tree_11,,,window_01_broke,,,outside_metal_fence_1,,wall_01_broke,,,@,garden_stone,,outside_metal_fence_1,,,
,misc_sign,misc_blood,,garden_stone,@,misc_blood,,outside_wooden_fence_1,,,,garden_grass_2,@,,,@,@,outside_metal_door_01_barricate,@
,misc_sign,,,misc_dead,@,crate,garden_grass_3,outside_wooden_fence_1,,,@,@,@,wall_01_broke,,garden_tall_grass,,misc_blood,@
,misc_sign,,,,outside_wooden_fence_1,outside_wooden_fence_1,outside_wooden_fence_1,outside_wooden_fence_1,,garden_tall_grass,@,crate,military_radio,,,,garden_grass_1,wall_01_part_right,@
,,garden_grass_1,,,outside_wooden_door_01_broke_barricate,,garden_grass_3,,,,window_01_broke_barricate,,,,,,,@,@
outside_wooden_fence_1,garden_tall_grass,,,garden_tree_11,outside_wooden_fence_1,garden_stone,,,,garden_grass_2,@,garden_tall_grass,military_crate,house_computer,,,garden_grass_2,@,wall_01_part_left_top
outside_wooden_fence_1,,,@,@,@,,,,@,@,@,window_01_close,@,@,garden_tree_11,garden_tree_11,misc_dead,@,garden_stone
outside_wooden_fence_1,misc_blood,,window_01_broke,garden_grass_3,,,garden_grass_1,,door_02_broke,garden_tall_grass,garden_stone,,wall_01_part_right_top,@,medical_cupboard_01,water_top_right_01,water_top_left_01,outside_metal_fence_1,
misc_sign,misc_sign,misc_chainwheel_left_right,@,@,,,,,window_01_broke_barricate,,,,,@,garden_grass_2,water_right_01,water_left_01,outside_metal_fence_1,
,,misc_hook,misc_chain_top,@,door_02_broke_barricate,outside_wooden_fence_1,outside_wooden_fence_1,outside_wooden_fence_1,outside_wooden_fence_1,wall_01_part_left,,garden_grass_1,wall_01_part_right,@,outside_metal_fence_1,water_bottom_right_01,water_bottom_left_01,outside_metal_fence_1,garden_grass_2
,garden_grass_1,,,,,,,,,,,,,,,,,,
